,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-06-30,-645000000.0,-497000000.0,-10389000000.0,1903000000.0,-850000000.0,40000000.0,155000000.0,9178000000.0,-223000000.0,-150000000.0,11166000000.0,4198000000.0,-23000000.0,-2811000000.0,-3689000000.0,1365000000.0,-97000000.0,-2909000000.0,-8920000000.0
2019-06-30,1187000000.0,4000000.0,-10849000000.0,-163000000.0,267000000.0,278000000.0,3008000000.0,11237000000.0,1283000000.0,144000000.0,11720000000.0,3460000000.0,-83000000.0,-2510000000.0,-2240000000.0,-1086000000.0,-68000000.0,-3653000000.0,-8573000000.0
2018-06-30,-2180000000.0,542000000.0,-10537000000.0,-2033000000.0,-3749000000.0,593000000.0,277000000.0,10042000000.0,-2498000000.0,71000000.0,11717000000.0,2886000000.0,-139000000.0,-1959000000.0,-2665000000.0,-449000000.0,-34000000.0,-2729000000.0,-7867000000.0
2017-06-30,-929000000.0,200000000.0,-5268000000.0,-1279000000.0,1598000000.0,-111000000.0,4801000000.0,7725000000.0,7056000000.0,469000000.0,10257000000.0,2552000000.0,488000000.0,-1897000000.0,-122000000.0,-896000000.0,-27000000.0,-2155000000.0,-4597000000.0
