,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-06-30,-11343000000.0,-33452000000.0,-12854000000.0,-34030000000.0,-10066000000.0,380000000.0,50303000000.0,-1534000000.0,-350000000.0,65135000000.0,29305000000.0,3320000000.0,-6651000000.0,-5375000000.0,-1029000000.0,-14905000000.0,-9518000000.0,-31562000000.0,
2019-06-30,-6419000000.0,-37113000000.0,58437000000.0,43456000000.0,49783000000.0,478000000.0,48253000000.0,109253000000.0,318000000.0,101978000000.0,23636000000.0,-2712000000.0,-5854000000.0,-14489000000.0,3258000000.0,-9605000000.0,-21262000000.0,-43835000000.0,
2018-06-30,4638000000.0,-164443000000.0,128938000000.0,116083000000.0,2092000000.0,23000000.0,36405000000.0,-2211000000.0,68000000.0,46081000000.0,17292000000.0,-2059000000.0,-4113000000.0,-9235000000.0,-3816000000.0,-8765000000.0,-21263000000.0,-53341000000.0,64000000.0
2017-06-30,9108000000.0,-40593000000.0,31902000000.0,17644000000.0,11883000000.0,85000000.0,33082000000.0,33598000000.0,-46000000.0,56441000000.0,15866000000.0,-5215000000.0,-3479000000.0,-6517000000.0,-2928000000.0,-10864000000.0,-26296000000.0,-39398000000.0,1122000000.0
