,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2020-03-31,-134388000000.0,0.0,-147507000000.0,584808000000.0,-483128000000.0,1000000.0,110607000000.0,56370000000.0,-18000000.0,-57000000.0,-552926000000.0,12160000000.0,2000000.0,-15855000000.0,600680000000.0,-190312000000.0,-5380000000.0,
2019-03-31,369361000000.0,0.0,360435000000.0,186130000000.0,-259589000000.0,50000000.0,51649000000.0,321023000000.0,-27000000.0,31000000.0,-225572000000.0,10103000000.0,2000000.0,-13740000000.0,219897000000.0,-49942000000.0,-3644000000.0,-20000000000.0
2018-03-31,148121000000.0,0.0,145640000000.0,485917000000.0,610871000000.0,50000000.0,49369000000.0,1293386000000.0,-21000000.0,-37000000.0,661866000000.0,9680000000.0,7034000000.0,-12022000000.0,497960000000.0,-7952000000.0,-4846000000.0,-20000000000.0
2017-03-31,-62054000000.0,0.0,-86273000000.0,576978000000.0,506501000000.0,50000000.0,-54300000000.0,1045330000000.0,-18000000.0,-25000000.0,554652000000.0,113071000000.0,-6989000000.0,-11299000000.0,597666000000.0,-10742000000.0,-10089000000.0,-20000000000.0
