,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-56146000000.0,0.0,-73943000000.0,20000000000.0,313597000000.0,-716800000000.0,46536000000.0,-380683000000.0,-10751000000.0,-7000000.0,-620328000000.0,13055000000.0,-986000000.0,-21386000000.0,325734000000.0,14053000000.0,-9579000000.0
2019-03-31,-128392000000.0,0.0,-148380000000.0,20000000000.0,487423000000.0,-312781000000.0,54285000000.0,89608000000.0,-10002000000.0,7000000.0,-249442000000.0,11826000000.0,74000000.0,-19440000000.0,496865000000.0,-3440000000.0,-11587000000.0
2018-03-31,298969000000.0,0.0,281992000000.0,20000000000.0,440000000000.0,-1087395000000.0,66413000000.0,-336702000000.0,-14091000000.0,-9000000.0,-1058685000000.0,10579000000.0,-670000000.0,-17797000000.0,451888000000.0,-48983000000.0,-12213000000.0
2017-03-31,93947000000.0,0.0,79458000000.0,10000000000.0,395339000000.0,477641000000.0,126656000000.0,1104229000000.0,-12509000000.0,-8000000.0,546547000000.0,9858000000.0,-500000000.0,-20589000000.0,418437000000.0,-102876000000.0,-10809000000.0
