,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,-1337000000.0,-61217000000.0,-10980000000.0,-46754000000.0,-3072000000.0,52212000000.0,23916000000.0,-2131000000.0,134019000000.0,68012000000.0,916000000.0,-24101000000.0,5058000000.0,-5556000000.0,-11673000000.0,16062000000.0,-62485000000.0
2019-12-31,8943000000.0,-59382000000.0,-77279000000.0,-115156000000.0,11820000000.0,68888000000.0,-2971000000.0,971000000.0,170596000000.0,67844000000.0,1000000.0,-24101000000.0,439000000.0,-7019000000.0,-13776000000.0,16490000000.0,-58815000000.0
2018-12-31,7933000000.0,-58543000000.0,-19571000000.0,-56868000000.0,7211000000.0,80024000000.0,29213000000.0,-1728000000.0,146354000000.0,63319000000.0,174000000.0,-23793000000.0,-4855000000.0,-4946000000.0,-13504000000.0,-34121000000.0,-56929000000.0
2017-12-31,6453000000.0,-52958000000.0,-26512000000.0,-63593000000.0,3446000000.0,78112000000.0,29787000000.0,265000000.0,149513000000.0,63934000000.0,1594000000.0,-23484000000.0,-7887000000.0,-1425000000.0,-13597000000.0,-29450000000.0,-55339000000.0
