,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2021-02-28,-337000000.0,113000000.0,-64444000000.0,21233000000.0,12244000000.0,-6564000000.0,-1864000000.0,9711000000.0,290000000.0,61621000000.0,58586000000.0,-6347000000.0,-9100000000.0,97000000.0,111000000.0,11253000000.0,-57535000000.0,
2020-02-29,-5914000000.0,4774000000.0,-95783000000.0,43485000000.0,22808000000.0,30507000000.0,34239000000.0,58954000000.0,-1715000000.0,133645000000.0,56858000000.0,1472000000.0,-8872000000.0,-447000000.0,-11805000000.0,-12066000000.0,-97192000000.0,
2019-02-28,-440000000.0,4227000000.0,-176189000000.0,100400000000.0,91199000000.0,9783000000.0,33538000000.0,1191000000.0,-4418000000.0,90600000000.0,42640000000.0,-3878000000.0,-8642000000.0,-1117000000.0,-558000000.0,-12616000000.0,-207522000000.0,-1000000.0
2018-02-28,329000000.0,61000000.0,-142009000000.0,46727000000.0,44841000000.0,10905000000.0,30542000000.0,-15369000000.0,1182000000.0,80616000000.0,38443000000.0,4441000000.0,-6708000000.0,-766000000.0,4824000000.0,-13088000000.0,-186525000000.0,-2000000.0
