,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,4545000000.0,2549000000.0,-8706000000.0,3000000000.0,-32154000000.0,-2491000000.0,49000000.0,-49166000000.0,-27849000000.0,-33852000000.0,65000000.0,12946000000.0,11543000000.0,-98000000.0,-5815000000.0,-847000000.0,4464000000.0,42427000000.0,-2467000000.0
2019-03-31,2021000000.0,-912000000.0,-21008000000.0,1200000000.0,-4656000000.0,9865000000.0,74000000.0,12709000000.0,-2282000000.0,-33852000000.0,402000000.0,22979000000.0,10883000000.0,53000000.0,-4644000000.0,-7379000000.0,-1286000000.0,-7547000000.0,-5402000000.0
2018-03-31,637000000.0,-146000000.0,-16520000000.0,-500000000.0,-5390000000.0,-3823000000.0,100000000.0,22981000000.0,15516000000.0,-33852000000.0,-247000000.0,37672000000.0,11408000000.0,119000000.0,-4646000000.0,-2737000000.0,-344000000.0,2580000000.0,-2716000000.0
2017-03-31,2780000000.0,756000000.0,-7404000000.0,1510000000.0,-2445000000.0,-2802000000.0,271000000.0,30826000000.0,12984000000.0,-33852000000.0,151000000.0,22682000000.0,11065000000.0,-519000000.0,-2907000000.0,-7010000000.0,-1319000000.0,-4955000000.0,-872000000.0
