,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2020-12-31,13000000.0,61000000.0,-3815000000.0,-9231000000.0,1256000000.0,10643000000.0,4634000000.0,-389000000.0,-718000000.0,18400000000.0,3972000000.0,-37000000.0,-8517000000.0,-42000000.0,1351000000.0,-325000000.0,-4034000000.0,-3601000000.0,
2019-12-31,56727268.0,217090891.0,-4358181455.0,-9527999206.0,1299272619.0,12202999335.0,1600363503.0,-149454533.0,106909082.0,15379635082.0,4109454203.0,-107999991.0,-8978181070.0,-777818117.0,-1953818019.0,-400363603.0,-6173454031.0,-3723272417.0,
2019-01-31,211000000.0,-265000000.0,-4704000000.0,-8338000000.0,-1154000000.0,14238000000.0,-397000000.0,-1000000.0,-986000000.0,13632000000.0,2804000000.0,17000000.0,-8260000000.0,-2300000000.0,646000000.0,-77000000.0,-6361000000.0,-3686000000.0,
2018-01-31,197000000.0,494000000.0,-3586000000.0,-12812000000.0,-343000000.0,14515000000.0,1294000000.0,-1000000.0,599000000.0,17094000000.0,2450000000.0,-111000000.0,-7066000000.0,-761000000.0,376000000.0,-72000000.0,-6038000000.0,-2199000000.0,-5673000000.0
