,Net Income,Change To Liabilities,Investments,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,-3837000000.0,0.0,,,,,,,,,,,,,,,,,
2020-03-31,-4009000000.0,-4130000000.0,-615000000.0,-42419000000.0,-7634000000.0,-31601000000.0,4658000000.0,9897000000.0,-12362000000.0,-4070000000.0,87210000000.0,46057000000.0,-158000000.0,-9368000000.0,-4087000000.0,31102000000.0,-2237000000.0,-1958000000.0,-32653000000.0
2019-03-31,22114000000.0,4739000000.0,-5030000000.0,-67405000000.0,38697000000.0,-6910000000.0,-5862000000.0,-2460000000.0,-19510000000.0,-815000000.0,72671000000.0,44188000000.0,-1338000000.0,-8815000000.0,-912000000.0,1457000000.0,-17282000000.0,-12128000000.0,-52348000000.0
2018-03-31,47390000000.0,-4283000000.0,215000000.0,-66722000000.0,6120000000.0,-2957000000.0,362000000.0,2786000000.0,-19510000000.0,2079000000.0,70387000000.0,36004000000.0,371000000.0,-6268000000.0,-4700000000.0,-9229000000.0,-2809000000.0,-12989000000.0,-61075000000.0
