,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-05-20,-1000000000.0,6780000000.0,-18079000000.0,9274000000.0,7763000000.0,1749000000.0,96000000.0,12416000000.0,11176000000.0,21492000000.0,6275000000.0,-1354000000.0,-599000000.0,-6079000000.0,-331000000.0,-1008000000.0,-4092000000.0,-15415000000.0
2019-05-20,-1000000000.0,1787000000.0,-17867000000.0,3002000000.0,1618000000.0,34000000.0,73000000.0,10648000000.0,-5106000000.0,11142000000.0,5542000000.0,-1348000000.0,-535000000.0,-5599000000.0,-573000000.0,-922000000.0,-4525000000.0,-16335000000.0
2018-05-20,-1000000000.0,4351000000.0,-16255000000.0,6052000000.0,4769000000.0,267000000.0,79000000.0,8823000000.0,6714000000.0,18200000000.0,4898000000.0,-1577000000.0,-471000000.0,-4289000000.0,-283000000.0,-891000000.0,743000000.0,-14552000000.0
2017-05-20,-1000000000.0,4571000000.0,-13049000000.0,2994000000.0,1826000000.0,312000000.0,69000000.0,8181000000.0,-2478000000.0,8743000000.0,4277000000.0,-1247000000.0,-388000000.0,-4512000000.0,-379000000.0,-849000000.0,-6583000000.0,-11822000000.0
