,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,35729000000.0,-33994000000.0,-139026000000.0,-326207000000.0,-269927000000.0,-959139000000.0,215000000.0,153116000000.0,317701000000.0,-11000000.0,60884000000.0,665770000000.0,63846000000.0,-9958000000.0,-76358000000.0,132434000000.0,-26416000000.0,-119875000000.0
2020-03-31,171763000000.0,788007000000.0,216336000000.0,617844000000.0,332062000000.0,1764261000000.0,285000000.0,216998000000.0,505178000000.0,-150009000000.0,-27277000000.0,-15943000000.0,65245000000.0,685000000.0,-58416000000.0,-77642000000.0,-92924000000.0,-206745000000.0
2019-03-31,21681000000.0,-63683000000.0,-112503000000.0,602596000000.0,761191000000.0,-1315185000000.0,313000000.0,-100442000000.0,332264000000.0,-51714000000.0,44741000000.0,-361165000000.0,60428000000.0,-3954000000.0,-47475000000.0,257471000000.0,124092000000.0,-319090000000.0
2018-03-31,125354000000.0,209460000000.0,-56172000000.0,564953000000.0,373168000000.0,-688613000000.0,764000000.0,219343000000.0,-182198000000.0,-109096000000.0,-53504000000.0,-445690000000.0,74903000000.0,-2073000000.0,-70199000000.0,-13254000000.0,-15610000000.0,-285161000000.0
