,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,2817000000.0,-55193000000.0,-1534000000.0,-16236000000.0,4271000000.0,25505000000.0,11843000000.0,-3300000000.0,-914000000.0,84188000000.0,46770000000.0,-1453000000.0,-8173000000.0,3617000000.0,-3468000000.0,-3229000000.0,-5469000000.0,-53740000000.0
2019-12-31,-4193000000.0,-61184000000.0,-607000000.0,-24825000000.0,963000000.0,33112000000.0,-8879000000.0,-3300000000.0,-534000000.0,77664000000.0,42396000000.0,981000000.0,-16716000000.0,2978000000.0,7517000000.0,-7502000000.0,-21225000000.0,-62165000000.0
2018-12-31,2001000000.0,-52244000000.0,-14731000000.0,-35424000000.0,13960000000.0,58580000000.0,4259000000.0,-3300000000.0,-1673000000.0,93602000000.0,29535000000.0,-1949000000.0,-14077000000.0,-5501000000.0,-12797000000.0,-6616000000.0,-5798000000.0,-50295000000.0
2017-12-31,-1207000000.0,-15750000000.0,-6046000000.0,-7615000000.0,3959000000.0,27016000000.0,29075000000.0,-3300000000.0,631000000.0,51808000000.0,25027000000.0,-207000000.0,-4399000000.0,-4026000000.0,-7826000000.0,2830000000.0,-828000000.0,-15543000000.0
