,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,7687000000.0,-28272000000.0,-70334000000.0,21260000000.0,9149000000.0,-2785000000.0,60600000000.0,74269000000.0,-19000000.0,-1091000000.0,136545000000.0,45355000000.0,225000000.0,-16762000000.0,35331000000.0,26820000000.0,4670000000.0,-18939000000.0,-45778000000.0
2019-03-31,7724000000.0,14300000000.0,-142354000000.0,-15379000000.0,-29047000000.0,-8032000000.0,66790000000.0,-56069000000.0,-25000000.0,588000000.0,114744000000.0,43541000000.0,-1604000000.0,-32151000000.0,-14573000000.0,3941000000.0,18508000000.0,-13804000000.0,-49657000000.0
2018-03-31,13288000000.0,2395000000.0,-22994000000.0,-90973000000.0,-90095000000.0,15275000000.0,91648000000.0,-35248000000.0,-5081000000.0,-1564000000.0,79405000000.0,46865000000.0,2666000000.0,-12687000000.0,-17645000000.0,-39928000000.0,18646000000.0,-33352000000.0,-42403000000.0
2017-03-31,7230000000.0,-6064000000.0,-143219000000.0,92450000000.0,70392000000.0,17331000000.0,-18540000000.0,-27532000000.0,-49000000.0,1499000000.0,43796000000.0,44232000000.0,-106155000000.0,-8274000000.0,-46634000000.0,-23858000000.0,-13735000000.0,64788000000.0,-50619000000.0
