,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,-7088000000.0,1200000000.0,-198354000000.0,21715000000.0,-1636000000.0,-8825000000.0,80857000000.0,19949000000.0,838000000.0,219797000000.0,101444000000.0,-5011000000.0,-20793000000.0,26113000000.0,-1203000000.0,-2558000000.0,15105000000.0,-169607000000.0
2020-03-31,-7997000000.0,8548000000.0,-232266000000.0,105752000000.0,79272000000.0,-7156000000.0,41788000000.0,31043000000.0,1145000000.0,182892000000.0,97084000000.0,-6322000000.0,-20799000000.0,4014000000.0,12239000000.0,-5681000000.0,-2286000000.0,-117574000000.0
2019-03-31,-4680000000.0,8878000000.0,-204192000000.0,107547000000.0,85262000000.0,-17196000000.0,33601000000.0,-55292000000.0,-1478000000.0,65116000000.0,104744000000.0,-768000000.0,-20801000000.0,-35078000000.0,-27714000000.0,-1484000000.0,-20582000000.0,-80099000000.0
2018-03-31,-4680000000.0,17510000000.0,-110456000000.0,-29680000000.0,-51591000000.0,21726000000.0,37724000000.0,4149000000.0,666000000.0,168731000000.0,93930000000.0,-8895000000.0,-20800000000.0,-8136000000.0,-15519000000.0,-1111000000.0,-6617000000.0,-73082000000.0
