,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-136424000000.0,-222887000000.0,-248766000000.0,-346919000000.0,-575482000000.0,5340000000.0,501322000000.0,39193000000.0,-62016000000.0,-14692000000.0,878133000000.0,402727000000.0,-133537000000.0,-11349000000.0,252470000000.0,-33010000000.0,-69387000000.0,-199527000000.0
2019-03-31,-73631000000.0,-30051000000.0,201149000000.0,-345047000000.0,-538318000000.0,36245000000.0,500523000000.0,139890000000.0,-68700000000.0,508000000.0,476551000000.0,138712000000.0,-116437000000.0,-32287000000.0,-11645000000.0,-8134000000.0,-141178000000.0,-113572000000.0
2018-03-31,-151748000000.0,171562000000.0,-256350000000.0,-160858000000.0,-296136000000.0,-5117000000.0,400333000000.0,-173449000000.0,-27895000000.0,-9175000000.0,388212000000.0,102417000000.0,-92845000000.0,-53414000000.0,-185873000000.0,-14538000000.0,-53381000000.0,-107829000000.0
2017-03-31,-33612000000.0,129978000000.0,-81306000000.0,-226547000000.0,-335396000000.0,22349000000.0,352221000000.0,-27282000000.0,-16756000000.0,-273000000.0,389693000000.0,95769000000.0,-83037000000.0,-65085000000.0,-117284000000.0,-9056000000.0,-39532000000.0,-89317000000.0
