,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,-3006000000.0,-11218000000.0,-44301000000.0,10433000000.0,927000000.0,3629000000.0,1019000000.0,11284000000.0,-364000000.0,55022000000.0,27402000000.0,-1000000.0,-8313000000.0,26145000000.0,10463000000.0,-1193000000.0,-7515000000.0,-26839000000.0
2019-12-31,-844000000.0,162000000.0,-99159000000.0,73223000000.0,64568000000.0,2945000000.0,31994000000.0,5318000000.0,-1754000000.0,41664000000.0,22708000000.0,-189000000.0,-7673000000.0,-19778000000.0,8623000000.0,-982000000.0,-24222000000.0,-23984000000.0
2018-12-31,-1000000000.0,9134000000.0,-53849000000.0,33736000000.0,29677000000.0,-20282000000.0,73998000000.0,18979000000.0,-959000000.0,44109000000.0,11172000000.0,-14000000.0,-3836000000.0,-24264000000.0,-15370000000.0,-223000000.0,-14311000000.0,-8491000000.0
2017-12-31,109000000.0,3358000000.0,-14039000000.0,-1023000000.0,-4534000000.0,-2512000000.0,11816000000.0,-6376000000.0,1654000000.0,10543000000.0,7119000000.0,20000000.0,-1918000000.0,-3253000000.0,-4586000000.0,-1593000000.0,-5510000000.0,-4336000000.0
