,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2021-03-31,-2208000000.0,30642000000.0,-211692000000.0,476645000000.0,446749000000.0,-51993000000.0,-233214000000.0,131761000000.0,-103295000000.0,173468000000.0,20640000000.0,-24870000000.0,3874000000.0,10681000000.0,-5026000000.0,-36753000000.0,-242047000000.0,
2020-03-31,-23584000000.0,-13748000000.0,-268657000000.0,19586000000.0,-29167000000.0,-27016000000.0,89380000000.0,-58297000000.0,240152000000.0,170448000000.0,18549000000.0,-34999000000.0,-9184000000.0,15527000000.0,-3755000000.0,-36537000000.0,-265152000000.0,-9999000000.0
2019-03-31,-15234000000.0,35992000000.0,-247420000000.0,37622000000.0,-7174000000.0,-13191000000.0,102750000000.0,35132000000.0,289728000000.0,163188000000.0,24124000000.0,-32329000000.0,-2709000000.0,-6888000000.0,-2468000000.0,-43837000000.0,-257264000000.0,-9999000000.0
2018-03-31,-3973000000.0,23074000000.0,-166352000000.0,-3323000000.0,-71422000000.0,-17380000000.0,110493000000.0,38115000000.0,275101000000.0,163562000000.0,34004000000.0,-29049000000.0,-15736000000.0,-12282000000.0,-39050000000.0,-36816000000.0,-201705000000.0,-9999000000.0
