,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,12247000000.0,-172762000000.0,95735000000.0,75241000000.0,16815000000.0,14564000000.0,12493000000.0,-83000000.0,-147000000.0,110228000000.0,83418000000.0,13262000000.0,-18024000000.0,4451000000.0,-15615000000.0,-2387000000.0,-9716000000.0,-186024000000.0
2020-03-31,7824000000.0,-172111000000.0,17686000000.0,-1451000000.0,-92218000000.0,90056000000.0,-44058000000.0,-20000000.0,-150000000.0,129654000000.0,81263000000.0,1812000000.0,-17221000000.0,3642000000.0,3309000000.0,-1896000000.0,1541000000.0,-173923000000.0
2019-03-31,-18295000000.0,-168744000000.0,116567000000.0,97510000000.0,1505000000.0,11446000000.0,10372000000.0,-24000000.0,-133000000.0,81635000000.0,109050000000.0,10560000000.0,-17222000000.0,5343000000.0,-13114000000.0,-1811000000.0,-17747000000.0,-179304000000.0
2018-03-31,9268000000.0,-188549000000.0,23303000000.0,4483000000.0,33476000000.0,20707000000.0,-19197000000.0,-21000000.0,73000000.0,164794000000.0,108711000000.0,25489000000.0,-17223000000.0,-7546000000.0,-13265000000.0,-1576000000.0,7030000000.0,-214038000000.0
