,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,3830000000.0,-4950000000.0,-7124000000.0,-6436000000.0,-139000000.0,21561000000.0,24004000000.0,-377000000.0,37694000000.0,12134000000.0,-629000000.0,-4933000000.0,436000000.0,4749000000.0,-1503000000.0,-9370000000.0,-9742000000.0,
2019-03-31,7713000000.0,-1067000000.0,-7288000000.0,-6150000000.0,588000000.0,20480000000.0,14434000000.0,-1626000000.0,29479000000.0,11876000000.0,-280000000.0,-4729000000.0,-4004000000.0,-2749000000.0,-1418000000.0,-8329000000.0,-14157000000.0,-3000000.0
2018-03-31,3915000000.0,-913000000.0,-12190000000.0,-11725000000.0,3874000000.0,21194000000.0,6400000000.0,402000000.0,29914000000.0,11292000000.0,176000000.0,-4548000000.0,-3864000000.0,-4333000000.0,-1166000000.0,-10722000000.0,-15796000000.0,-6011000000.0
2017-03-31,1993000000.0,1253000000.0,-17732000000.0,-5217000000.0,3868000000.0,22322000000.0,15697000000.0,-906000000.0,39554000000.0,10174000000.0,-170000000.0,-4368000000.0,-2353000000.0,1172000000.0,-849000000.0,-9563000000.0,-20778000000.0,-6011000000.0
