,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-12-31,1381000000.0,-18406000000.0,7815000000.0,3977000000.0,1780000000.0,-9992000000.0,9747000000.0,-2000000.0,-1222000000.0,25399000000.0,18675000000.0,-474000000.0,-1990000000.0,687000000.0,3754000000.0,-1846000000.0,8847000000.0,-18009000000.0,
2019-12-31,-19887000000.0,-30040000000.0,27815000000.0,18304000000.0,-808000000.0,11690000000.0,14577000000.0,-1000000.0,-2069000000.0,28383000000.0,18085000000.0,-899000000.0,-7944000000.0,1615000000.0,28588000000.0,-1566000000.0,-17378000000.0,-29192000000.0,
2018-12-31,3624000000.0,-33055000000.0,-2185000000.0,-11645000000.0,5354000000.0,35400000000.0,4592000000.0,-4000000.0,-5883000000.0,55177000000.0,16449000000.0,18000000.0,-9326000000.0,-7958000000.0,-7547000000.0,-130000000.0,-6274000000.0,-31412000000.0,-250000000.0
2017-12-31,2994665918.0,-21107994723.0,-17333329000.0,-23735994066.0,1262666351.0,34305324757.0,-9898664192.0,-7999998.0,790666469.0,34154658128.0,18791995302.0,82666646.0,-10301330758.0,-7283998179.0,-13195996701.0,3906665690.0,-9793330885.0,-20931994767.0,-278666597.0
