,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Other Cashflows From Investing Activities
2020-03-31,-351000000.0,3442000000.0,-84714000000.0,40000000000.0,14010000000.0,2963000000.0,85211000000.0,43916000000.0,-3000000.0,-2859000000.0,117479000000.0,52358000000.0,-20507000000.0,-17284000000.0,-7318000000.0,-5480000000.0,-23148000000.0,-62316000000.0,
2019-03-31,-2032000000.0,6682000000.0,-74792000000.0,-47764000000.0,-67540000000.0,-4317000000.0,79470000000.0,-44849000000.0,-9000000.0,3912000000.0,93571000000.0,44035000000.0,-19555000000.0,-20144000000.0,-5935000000.0,-212000000.0,-29459000000.0,-39326000000.0,
2018-03-31,-597000000.0,3991000000.0,-44105000000.0,11810000000.0,-4132000000.0,1181000000.0,91295000000.0,62786000000.0,-6000000.0,-3538000000.0,114562000000.0,42035000000.0,-15839000000.0,-7537000000.0,-9256000000.0,-97000000.0,-22482000000.0,-31866000000.0,-2218000000.0
2017-03-31,22342000000.0,886000000.0,-181433000000.0,120010000000.0,60937000000.0,1924000000.0,54225000000.0,-41880000000.0,-44227000000.0,-2246000000.0,80862000000.0,46511000000.0,-14518000000.0,-3921000000.0,-4784000000.0,-328000000.0,-34735000000.0,-29838000000.0,-119192000000.0
