,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-02-28,4697000000.0,-2610000000.0,-6633000000.0,-19530000000.0,-25361000000.0,3698000000.0,23053000000.0,16324000000.0,-2000000.0,48320000000.0,16609000000.0,756000000.0,-5732000000.0,3917000000.0,3895000000.0,-97000000.0,-12041000000.0,-12632000000.0
2020-02-29,-437000000.0,18708000000.0,-16693000000.0,-34305000000.0,-40142000000.0,2980000000.0,19953000000.0,845000000.0,-2000000.0,57681000000.0,16949000000.0,-473000000.0,-5732000000.0,2560000000.0,-6570000000.0,-103000000.0,-6791000000.0,-15266000000.0
2019-02-28,-714000000.0,-3373000000.0,-19101000000.0,-8945000000.0,-14793000000.0,1587000000.0,23488000000.0,-252000000.0,-6000000.0,33642000000.0,16684000000.0,355000000.0,-5732000000.0,-519000000.0,-2539000000.0,-110000000.0,-11693000000.0,-17378000000.0
2018-02-28,-2679000000.0,4149000000.0,-29067000000.0,-10353000000.0,-15477000000.0,-2288000000.0,26932000000.0,-1952000000.0,-6000000.0,42592000000.0,17168000000.0,437000000.0,-4872000000.0,-363000000.0,-3598000000.0,-246000000.0,-11680000000.0,-27053000000.0
