,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-103448000000.0,0.0,-330363000000.0,131160000000.0,65321000000.0,154742000000.0,143030000000.0,400153000000.0,-52019000000.0,-2701000000.0,667896000000.0,78350000000.0,-97589000000.0,-83861000000.0,70041000000.0,422299000000.0,-32021000000.0
2019-03-31,-211588000000.0,0.0,-252417000000.0,80593000000.0,-33337000000.0,542716000000.0,192705000000.0,475019000000.0,-30029000000.0,-15949000000.0,776724000000.0,74116000000.0,69702000000.0,-79286000000.0,-4615000000.0,-119950000000.0,-32399000000.0
2018-03-31,-750000000000.0,0.0,-963105000000.0,125818000000.0,42329000000.0,565517000000.0,154057000000.0,-92396000000.0,-70000000.0,5738000000.0,822640000000.0,75755000000.0,-145045000000.0,-79887000000.0,-3532000000.0,-62939000000.0,-20291000000.0
2017-03-31,-558505000000.0,0.0,-614899000000.0,6333000000.0,-100198000000.0,893574000000.0,210447000000.0,359496000000.0,-39985000000.0,-11451000000.0,1086948000000.0,73577000000.0,-16895000000.0,-63151000000.0,-3395000000.0,-162808000000.0,-20158000000.0
