,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2020-12-31,387000000.0,-6262000000.0,-26174000000.0,-6587000000.0,2355000000.0,21997000000.0,5637000000.0,-2000000.0,-91000000.0,38490000000.0,11253000000.0,19000000.0,-6485000000.0,5357000000.0,5276000000.0,-100000000.0,-12952000000.0,-14695000000.0,
2019-12-31,-1055000000.0,-24301000000.0,-94584000000.0,-8557000000.0,8110000000.0,22250000000.0,-81077000000.0,-2000000.0,11000000.0,22052000000.0,12257000000.0,-447000000.0,-8426000000.0,-1805000000.0,4857000000.0,-129000000.0,-10368000000.0,-11651000000.0,
2018-12-31,857000000.0,-25105000000.0,-10526000000.0,-7838000000.0,-2105000000.0,20826000000.0,-1407000000.0,-3000000.0,-33000000.0,16990000000.0,13281000000.0,-29000000.0,-7778000000.0,858000000.0,8355000000.0,-148000000.0,-9002000000.0,-9905000000.0,91000000.0
2017-12-31,147000000.0,-1812000000.0,7963000000.0,-7145000000.0,-809000000.0,20679000000.0,29693000000.0,-6000000.0,-9000000.0,28885000000.0,14268000000.0,-249000000.0,-7127000000.0,-3917000000.0,-1098000000.0,-159000000.0,-8665000000.0,-12070000000.0,147000000.0
