,Net Income,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,22304000000.0,0.0,,,,,,,,,,,,,,,
2020-03-31,42277000000.0,322000000.0,-161711000000.0,-4971000000.0,-27737000000.0,8008000000.0,-29865000000.0,337000000.0,159245000000.0,83009000000.0,-12191000000.0,-13727000000.0,3926000000.0,5818000000.0,-9039000000.0,-7425000000.0,-149520000000.0
2019-03-31,46252000000.0,3394000000.0,-170432000000.0,82887000000.0,74622000000.0,7234000000.0,50237000000.0,-2375000000.0,148423000000.0,79979000000.0,-64423000000.0,-13729000000.0,-1315000000.0,6211000000.0,5464000000.0,-15619000000.0,-106009000000.0
2018-03-31,68448000000.0,-2143000000.0,-109635000000.0,-65342000000.0,-85825000000.0,5817000000.0,-31614000000.0,3536000000.0,160310000000.0,82298000000.0,-10819000000.0,-12810000000.0,-5121000000.0,-10801000000.0,-7673000000.0,-8826000000.0,-98816000000.0
