,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-09-30,510000000.0,-14879000000.0,5778000000.0,-6724000000.0,829000000.0,6457000000.0,2324000000.0,4000000.0,23923000000.0,15217000000.0,-1124000000.0,-2610000000.0,-382000000.0,-2456000000.0,-9892000000.0,-331000000.0,-12286000000.0,
2019-09-30,2355000000.0,-10682000000.0,-4168000000.0,-8578000000.0,923000000.0,9959000000.0,-2045000000.0,-94000000.0,17309000000.0,4794000000.0,-963000000.0,-2465000000.0,19000000.0,-1060000000.0,-1945000000.0,-4085000000.0,-7416000000.0,
2018-09-30,1666000000.0,-6398000000.0,-4168000000.0,-4516000000.0,1665000000.0,7991000000.0,3848000000.0,18000000.0,14744000000.0,4425000000.0,-640000000.0,-1229000000.0,-173000000.0,-415000000.0,-2406000000.0,-3932000000.0,-5464000000.0,3287000000.0
2017-09-30,-139000000.0,-5533000000.0,-4503000000.0,-5663000000.0,589000000.0,6952000000.0,389000000.0,12000000.0,11574000000.0,3904000000.0,-691000000.0,-1229000000.0,-74000000.0,-305000000.0,-1160000000.0,-1396000000.0,-4547000000.0,3287000000.0
