,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-2790524000000.0,0.0,-2992719000000.0,-66697000000.0,3338895000000.0,2863964000000.0,85773000000.0,212416000000.0,4487012000000.0,-99605000000.0,-271873000000.0,4412709000000.0,182791000000.0,-283000000.0,-268135000000.0,3687559000000.0,1091580000000.0,-83949000000.0
2019-03-31,1549836000000.0,0.0,1201570000000.0,-34721000000.0,4398121000000.0,-2548749000000.0,294000000.0,553807000000.0,3300073000000.0,-70619000000.0,44062000000.0,-2343680000000.0,88795000000.0,-2000000.0,-257470000000.0,4760931000000.0,55743000000.0,-508835000000.0
2018-03-31,-2035725000000.0,0.0,-3593677000000.0,-85168000000.0,5520230000000.0,3469084000000.0,150295000000.0,769720000000.0,7171637000000.0,-103000000.0,-45865000000.0,5290949000000.0,310179000000.0,-2000000.0,-228291000000.0,5683497000000.0,108979000000.0,-710838000000.0
2017-03-31,1517162000000.0,0.0,851580000000.0,-138325000000.0,4330949000000.0,-1704989000000.0,329544000000.0,635799000000.0,4117853000000.0,-102000000.0,-300075000000.0,-764601000000.0,301638000000.0,1192000000.0,-213007000000.0,4352839000000.0,8977000000.0,-491444000000.0
