,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,-361000000.0,10026000000.0,44078000000.0,-65500000000.0,-123247000000.0,20216000000.0,56700000000.0,44622000000.0,-35707000000.0,-129000000.0,123921000000.0,48897000000.0,-18122000000.0,-15950000000.0,1516000000.0,-24966000000.0,-6090000000.0,-23527000000.0,-32074000000.0
2020-03-31,2105000000.0,-11767000000.0,-49943000000.0,9200000000.0,-22368000000.0,14103000000.0,22324000000.0,2012000000.0,-15691000000.0,-109000000.0,74433000000.0,55104000000.0,-8754000000.0,-11431000000.0,-702000000.0,4478000000.0,-4446000000.0,-31364000000.0,-54852000000.0
2019-03-31,-208000000.0,3772000000.0,-54872000000.0,-56942000000.0,-70947000000.0,11128000000.0,25682000000.0,-8212000000.0,-15691000000.0,-486000000.0,118093000000.0,51358000000.0,-9140000000.0,-11035000000.0,-295000000.0,3222000000.0,-2970000000.0,-3350000000.0,-48058000000.0
2018-03-31,579000000.0,-477000000.0,-41174000000.0,-23624000000.0,-36930000000.0,50000000.0,18231000000.0,-26063000000.0,-4000000.0,313000000.0,51728000000.0,46435000000.0,-8279000000.0,-10640000000.0,227000000.0,-18774000000.0,-2662000000.0,-8856000000.0,-36671000000.0
