,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,7702000000.0,-13689000000.0,-49208000000.0,30991000000.0,24334000000.0,1071000000.0,15144000000.0,6453000000.0,-1882000000.0,33074000000.0,12126000000.0,-337000000.0,-5704000000.0,3187000000.0,19452000000.0,-953000000.0,-13273000000.0,-11909000000.0,
2019-03-31,3220000000.0,-894000000.0,-7325000000.0,-822000000.0,-8909000000.0,-3269000000.0,20136000000.0,1160000000.0,100000000.0,17375000000.0,11144000000.0,103000000.0,-5133000000.0,-7157000000.0,-4477000000.0,-998000000.0,-6176000000.0,-10253000000.0,-1956000000.0
2018-03-31,-1794000000.0,15024000000.0,-14442000000.0,3816000000.0,-3161000000.0,1343000000.0,17175000000.0,3127000000.0,-175000000.0,21013000000.0,11043000000.0,-1111000000.0,-4287000000.0,-9610000000.0,-17382000000.0,-914000000.0,-3454000000.0,-6679000000.0,-1776000000.0
2017-03-31,3054000000.0,5198000000.0,-6518000000.0,-5000000000.0,-10592000000.0,2714000000.0,10331000000.0,-3170000000.0,-596000000.0,14527000000.0,10924000000.0,259000000.0,-4050000000.0,-1017000000.0,-11885000000.0,-435000000.0,-7507000000.0,-10667000000.0,-1107000000.0
