,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2020-12-31,2743000000.0,379000000.0,-5304000000.0,-254000000.0,-10952000000.0,4439000000.0,240000000.0,8987000000.0,-672000000.0,-1927000000.0,-3156000000.0,18741000000.0,8939000000.0,-359000000.0,-9011000000.0,728000000.0,-2714000000.0,-6931000000.0,-7736000000.0,
2019-12-31,198000000.0,-1013000000.0,-15246000000.0,635000000.0,-12132000000.0,-148000000.0,1147000000.0,14234000000.0,-2697000000.0,-4083000000.0,-1149000000.0,25830000000.0,8581000000.0,-134000000.0,-9830000000.0,1033000000.0,1586000000.0,-4388000000.0,-15391000000.0,-1000000.0
2018-12-31,-1162000000.0,-207000000.0,-12735000000.0,-56000000.0,-11069000000.0,-1417000000.0,162000000.0,22925000000.0,-5396000000.0,-3004000000.0,-2571000000.0,20979000000.0,7994000000.0,-1082000000.0,-8170000000.0,-4710000000.0,2004000000.0,-12008000000.0,-16524000000.0,-1000000.0
2017-12-31,257000000.0,126000000.0,-14027000000.0,-56000000.0,-13844000000.0,-2024000000.0,88000000.0,20303000000.0,-3346000000.0,-5004000000.0,-78000000.0,22585000000.0,7383000000.0,-271000000.0,-8872000000.0,-5255000000.0,2168000000.0,-7298000000.0,-14815000000.0,-1000000.0
