,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,8172000000.0,15239000000.0,-16770000000.0,-53132000000.0,13171000000.0,94012000000.0,62911000000.0,-283000000.0,14465000000.0,117996000000.0,45102000000.0,-3174000000.0,-50484000000.0,-16828000000.0,-37122000000.0,-2365000000.0,4422000000.0,-21768000000.0
2020-03-31,-3576000000.0,-8646000000.0,-84319000000.0,-140726000000.0,9163000000.0,73371000000.0,-92706000000.0,-36870000000.0,-12533000000.0,144872000000.0,45913000000.0,-5314000000.0,-102546000000.0,10288000000.0,18358000000.0,-1310000000.0,-31047000000.0,-75429000000.0
2019-03-31,7215000000.0,-16393000000.0,-123343000000.0,-172868000000.0,-28397000000.0,154163000000.0,-118189000000.0,-183000000.0,-580000000.0,177738000000.0,39709000000.0,-5234000000.0,-173571000000.0,-6249000000.0,67500000000.0,886000000.0,-86972000000.0,-125324000000.0
2018-03-31,-21426000000.0,16875000000.0,-130257000000.0,-93097000000.0,14991000000.0,181957000000.0,-48858000000.0,-442000000.0,-2283000000.0,175990000000.0,34190000000.0,-5815000000.0,-92003000000.0,-31527000000.0,-51908000000.0,-652000000.0,-56156000000.0,-103016000000.0
