,Net Income,Change To Liabilities,Investments,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,148137000000.0,0.0,,,,,,,,,,,,,,,,,
2019-12-31,127151000000.0,0.0,,,,,,,,,,,,,,,,,
2018-12-31,82492000000.0,16311000000.0,48997000000.0,-93341000000.0,-31198000000.0,-89198000000.0,-6546000000.0,-51589000000.0,-1000000.0,-4871000000.0,135821000000.0,59275000000.0,-1098000000.0,-55295000000.0,-17374000000.0,-20468000000.0,-2704000000.0,-4874000000.0,-57075000000.0
2017-12-31,112492000000.0,-5790000000.0,85672000000.0,-40072000000.0,-32516000000.0,-94537000000.0,-12644000000.0,-33261000000.0,-2000000.0,-1484000000.0,102832000000.0,62235000000.0,-1641000000.0,-54861000000.0,-8437000000.0,-9942000000.0,-7158000000.0,-26302000000.0,-54153000000.0
