,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,-3450000000.0,-3915000000.0,-13259000000.0,-1605000000.0,-8202000000.0,-4655000000.0,18182000000.0,6086000000.0,8000000.0,27539000000.0,11161000000.0,76000000.0,-6267000000.0,917000000.0,1788000000.0,-330000000.0,-2962000000.0,-3304000000.0,
2019-03-31,-2036000000.0,4811000000.0,-10586000000.0,-5055000000.0,-8226000000.0,-343000000.0,14238000000.0,8625000000.0,8000000.0,27438000000.0,11653000000.0,-20000000.0,-4511000000.0,-3516000000.0,-3829000000.0,1340000000.0,-828000000.0,-2925000000.0,
2018-03-31,-2775000000.0,-242000000.0,-13227000000.0,-9645000000.0,-12977000000.0,-165000000.0,11949000000.0,751000000.0,8000000.0,26956000000.0,10362000000.0,114000000.0,-3758000000.0,945000000.0,1625000000.0,426000000.0,-1100000000.0,-3665000000.0,
2017-03-31,-1542000000.0,732000000.0,-15906000000.0,2235000000.0,-11756000000.0,2970000000.0,10261000000.0,2259000000.0,8000000.0,29922000000.0,9315000000.0,-340000000.0,-3480000000.0,4228000000.0,170000000.0,620000000.0,-1046000000.0,-5967000000.0,-11131000000.0
