,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities,Effect Of Exchange Rate
2020-03-31,683000000.0,-536000000.0,-7319000000.0,675000000.0,9093000000.0,1980000000.0,-1712000000.0,9837000000.0,562000000.0,-105000000.0,-5607000000.0,16000000.0,-811000000.0,-4259000000.0,-323000000.0,,
2019-03-31,33000000.0,-240000000.0,-6734000000.0,1309000000.0,8829000000.0,3298000000.0,-1505000000.0,10273000000.0,534000000.0,-33000000.0,-5228000000.0,9000000.0,-68000000.0,-4195000000.0,-135000000.0,-1000000.0,
2018-03-31,417000000.0,-464000000.0,-5999000000.0,2818000000.0,8132000000.0,4493000000.0,-1505000000.0,10957000000.0,591000000.0,-84000000.0,-4493000000.0,-4000000.0,-415000000.0,-3991000000.0,-202000000.0,-1000000.0,
2017-03-31,-278000000.0,-325000000.0,-8011000000.0,1242000000.0,7937000000.0,1845000000.0,-3614000000.0,10186000000.0,461000000.0,-45000000.0,-4343000000.0,-6000000.0,72000000.0,-2436000000.0,-123000000.0,-54000000.0,-4000000.0
