,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Repurchase Of Stock
2020-03-31,-1540000000.0,878000000.0,-13032000000.0,-2509000000.0,-15339000000.0,-874000000.0,8961000000.0,-4227000000.0,-918000000.0,25062000000.0,13938000000.0,291000000.0,-3951000000.0,-3341000000.0,5920000000.0,-8879000000.0,-6950000000.0,-6325000000.0,,
2019-03-31,-2770000000.0,-2564000000.0,-11388000000.0,12007000000.0,-361000000.0,-2356000000.0,12256000000.0,12774000000.0,146000000.0,24300000000.0,12567000000.0,-54000000.0,-5140000000.0,3808000000.0,-2317000000.0,-1228000000.0,-5400000000.0,-5424000000.0,575000000.0,-6575000000.0
2018-03-31,-1432000000.0,1555000000.0,-8609000000.0,-12840000000.0,-23574000000.0,819000000.0,9892000000.0,-14676000000.0,-234000000.0,14585000000.0,13372000000.0,-84000000.0,-3912000000.0,-5825000000.0,-6643000000.0,-822000000.0,-6231000000.0,-5504000000.0,575000000.0,-6000000000.0
2017-03-31,671000000.0,2792000000.0,-6632000000.0,-309000000.0,-10964000000.0,5887000000.0,10382000000.0,9917000000.0,-2055000000.0,30087000000.0,13541000000.0,-265000000.0,-3864000000.0,-4288000000.0,840000000.0,-790000000.0,-5846000000.0,-5220000000.0,81000000.0,-6082000000.0
