,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,13000000.0,5172000000.0,-21992000000.0,4041000000.0,1418000000.0,3262000000.0,12458000000.0,8644000000.0,-1000000.0,29218000000.0,10772000000.0,-1257000000.0,-2454000000.0,-309000000.0,-2354000000.0,-168000000.0,-6086000000.0,-19900000000.0,
2019-03-31,60000000.0,1355000000.0,-16431000000.0,-3279000000.0,-5715000000.0,485000000.0,11798000000.0,824000000.0,-1000000.0,22970000000.0,10043000000.0,-1170000000.0,-2258000000.0,-59000000.0,-815000000.0,-181000000.0,-5769000000.0,-18936000000.0,3000000.0
2018-03-31,522000000.0,1237000000.0,-30805000000.0,7016000000.0,4736000000.0,-622000000.0,11004000000.0,-7456000000.0,-1000000000.0,18613000000.0,8645000000.0,-466000000.0,-2052000000.0,-355000000.0,-631000000.0,-228000000.0,-5953000000.0,-19903000000.0,1000000000.0
2015-03-31,6000000.0,1996000000.0,-13918000000.0,-4007000000.0,-6105000000.0,4198000000.0,7834000000.0,-2273000000.0,-1000000.0,17750000000.0,5134000000.0,-437000000.0,-1192000000.0,-941000000.0,-219000000.0,-905000000.0,-5305000000.0,-19688000000.0,1000000000.0
