,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Repurchase Of Stock
2020-03-31,12791000000.0,-11696000000.0,-8247000000.0,-7189000000.0,-13364000000.0,13187000000.0,7135000000.0,-2518000000.0,-3000000.0,19096000000.0,11534000000.0,-2404000000.0,-4984000000.0,6343000000.0,-5976000000.0,-1191000000.0,-5449000000.0,-10279000000.0,,
2019-03-31,17025000000.0,2995000000.0,-2057000000.0,-17288000000.0,-23198000000.0,-12236000000.0,12358000000.0,-8573000000.0,8000000.0,16674000000.0,10172000000.0,-742000000.0,-4984000000.0,7982000000.0,-3734000000.0,-1133000000.0,-7554000000.0,-16019000000.0,207000000.0,
2018-03-31,20747000000.0,-2131000000.0,-7282000000.0,-3994000000.0,-9177000000.0,-2054000000.0,11830000000.0,-7896000000.0,40000000.0,8456000000.0,9248000000.0,64000000.0,-4984000000.0,-8553000000.0,-638000000.0,-633000000.0,-6001000000.0,-23008000000.0,436000000.0,-2000000.0
2017-03-31,20483000000.0,6815000000.0,3881000000.0,-10101000000.0,-15593000000.0,12873000000.0,11010000000.0,14887000000.0,23000000.0,26249000000.0,8160000000.0,5196000000.0,-4982000000.0,-9443000000.0,-6160000000.0,-993000000.0,-2286000000.0,-13964000000.0,484000000.0,-1000000.0
