,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-203162000000.0,0.0,-222741000000.0,186960000000.0,22569000000.0,18261000000.0,-39231000000.0,-5500000000.0,8000000.0,-3459000000.0,8356000000.0,-348000000.0,-5418000000.0,197878000000.0,-61500000000.0,-14592000000.0
2019-03-31,339271000000.0,0.0,325890000000.0,-13680000000.0,-84831000000.0,22202000000.0,285249000000.0,-1668000000.0,10000000.0,-26971000000.0,7212000000.0,-937000000.0,-5436000000.0,-6576000000.0,15039000000.0,-10196000000.0
2018-03-31,262824000000.0,0.0,253711000000.0,285069000000.0,-417866000000.0,19395000000.0,182651000000.0,-1668000000.0,1000000.0,-356129000000.0,7679000000.0,785000000.0,-5454000000.0,290523000000.0,26263000000.0,-6563000000.0
2017-03-31,137304000000.0,0.0,130489000000.0,455851000000.0,-203498000000.0,14602000000.0,420340000000.0,-1668000000.0,19000000.0,-166019000000.0,8014000000.0,297000000.0,-5441000000.0,461292000000.0,8867000000.0,-3936000000.0
