,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,-77136000000.0,139474000000.0,-322474000000.0,-261942000000.0,-486963000000.0,-8381000000.0,335458000000.0,4417000000.0,-71337000000.0,41158000000.0,772696000000.0,273639000000.0,-135476000000.0,-34116000000.0,-40799000000.0,-18208000000.0,107421000000.0,-206404000000.0
2020-03-31,83673000000.0,-178921000000.0,-185230000000.0,378000000.0,-204561000000.0,-60179000000.0,391513000000.0,102626000000.0,-58092000000.0,-33959000000.0,526376000000.0,260084000000.0,-139071000000.0,38159000000.0,105425000000.0,-7776000000.0,-36648000000.0,-287839000000.0
2019-03-31,-403758000000.0,79343000000.0,-719036000000.0,264707000000.0,127376000000.0,-124702000000.0,414215000000.0,-175273000000.0,-17000000.0,5717000000.0,410670000000.0,183734000000.0,-139038000000.0,-54466000000.0,-60026000000.0,1724000000.0,-34973000000.0,-307719000000.0
2018-03-31,-130150000000.0,99814000000.0,-248211000000.0,-450263000000.0,-652292000000.0,-24062000000.0,418479000000.0,-372440000000.0,-49992000000.0,-24529000000.0,553645000000.0,188675000000.0,-105844000000.0,9813000000.0,-198407000000.0,-46193000000.0,51167000000.0,-174154000000.0
