,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,-993000000.0,-5848000000.0,-48840000000.0,18400000000.0,9089000000.0,1108000000.0,26176000000.0,-14985000000.0,24764000000.0,8403000000.0,-2445000000.0,-7192000000.0,-5080000000.0,-7000000.0,-2119000000.0,-12890000000.0,-4521000000.0,
2019-03-31,161000000.0,-1632000000.0,-7872000000.0,18400000000.0,-22290000000.0,-803000000.0,25035000000.0,-8264000000.0,21897000000.0,8233000000.0,-2485000000.0,-6356000000.0,-6461000000.0,-2567000000.0,-1962000000.0,-12242000000.0,-4598000000.0,-13972000000.0
2018-03-31,-962000000.0,3163000000.0,-7741000000.0,-46000000.0,-7060000000.0,-2411000000.0,22755000000.0,13136000000.0,27938000000.0,7704000000.0,-1885000000.0,-5297000000.0,-2608000000.0,-3053000000.0,-1715000000.0,-9275000000.0,-3404000000.0,-2000000.0
2017-03-31,-122000000.0,-3000000000.0,-7453000000.0,-46000000.0,-9824000000.0,1220000000.0,20119000000.0,6445000000.0,23722000000.0,7945000000.0,-1982000000.0,-4717000000.0,-2405000000.0,277000000.0,-1716000000.0,-9130000000.0,-3688000000.0,-3391000000.0
