,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Effect Of Exchange Rate
2021-03-31,-43453000000.0,-3652000000.0,-160738000000.0,98863000000.0,88724000000.0,2374000000.0,1314000000.0,-54190000000.0,-95847000000.0,-1000000.0,-23834000000.0,45899000000.0,-336000000.0,-11439000000.0,-1441000000.0,-5008000000.0,-13000000.0,5798000000.0,-111607000000.0,
2020-03-31,156356000000.0,-16132000000.0,20534000000.0,-21354000000.0,-55257000000.0,-11988000000.0,1309000000.0,62217000000.0,38613000000.0,-20745000000.0,73336000000.0,39447000000.0,-1490000000.0,-14444000000.0,-2764000000.0,14742000000.0,-23000000.0,-39102000000.0,-126974000000.0,
2019-03-31,-48688000000.0,3814000000.0,-135360000000.0,48694000000.0,36601000000.0,1337000000.0,1046000000.0,90286000000.0,36200000000.0,-20745000000.0,134974000000.0,38214000000.0,-2821000000.0,-13134000000.0,649000000.0,-2134000000.0,-5000000.0,-36345000000.0,-78574000000.0,-14000000.0
2018-03-31,13317000000.0,1081000000.0,-44981000000.0,-989000000.0,-33345000000.0,7554000000.0,876000000.0,81191000000.0,44548000000.0,-19999000000.0,122860000000.0,37586000000.0,-511000000.0,-13173000000.0,-743000000.0,-1126000000.0,-60000000.0,-34489000000.0,-55122000000.0,14000000.0
