,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-05-31,-5409000000.0,-30584000000.0,-17097000000.0,2814000000.0,351000000.0,47686000000.0,-5413000000.0,-6000000.0,-41000000.0,42309000000.0,2307000000.0,-29973000000.0,-17443000000.0,-6255000000.0,1000000.0,1165000000.0,-708000000.0,
2019-05-31,2515000000.0,-82178000000.0,-16093000000.0,-1560000000.0,341000000.0,43360000000.0,-52821000000.0,-943000000.0,-3000000.0,45453000000.0,2002000000.0,-129996000000.0,-15490000000.0,-375000000.0,-1000000.0,-489000000.0,-3184000000.0,51000000000.0
2018-05-31,1864000000.0,42778000000.0,-13357000000.0,6753000000.0,1217000000.0,38751000000.0,80301000000.0,-9000000.0,-1000000.0,50881000000.0,1795000000.0,-20000000.0,-14565000000.0,-241000000.0,-1000000.0,-15372000000.0,-1502000000.0,-46000000000.0
2017-05-31,639000000.0,16122000000.0,-66829000000.0,5605000000.0,911000000.0,36360000000.0,-7618000000.0,-830000000.0,-1000000.0,43087000000.0,1383000000.0,1000000.0,-66909000000.0,44000000.0,-1000000.0,-17256000000.0,-2575000000.0,9000000000.0
