,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Inventory
2021-03-31,16412000000.0,-660755000000.0,377701000000.0,325643000000.0,-38499000000.0,108978000000.0,35807000000.0,1817000000.0,369215000000.0,303158000000.0,412000000.0,-44582000000.0,-40391000000.0,-7476000000.0,-26761000000.0,-647481000000.0,
2020-03-31,4093000000.0,-577370000000.0,243143000000.0,211222000000.0,-60875000000.0,130002000000.0,96480000000.0,22000000.0,463408000000.0,301627000000.0,-39494000000.0,-44570000000.0,25057000000.0,12649000000.0,5149000000.0,-537876000000.0,
2019-03-31,-1123000000.0,-537846000000.0,151542000000.0,103073000000.0,464000000.0,115077000000.0,14801000000.0,-141000000.0,449716000000.0,360257000000.0,-50675000000.0,-40098000000.0,-41446000000.0,-8371000000.0,-6931000000.0,-475437000000.0,-34777000000.0
2018-03-31,3202000000.0,-447237000000.0,-115265000000.0,-162277000000.0,88118000000.0,151880000000.0,13356000000.0,-394000000.0,623266000000.0,353927000000.0,-28717000000.0,-35674000000.0,-36245000000.0,-11338000000.0,-1344000000.0,-398028000000.0,-34777000000.0
