,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-20,-172428000000.0,920000000.0,-177487000000.0,-48532000000.0,345000000.0,197289000000.0,-33028000000.0,-26000000.0,338000000.0,192652000000.0,7555000000.0,-701000000.0,-48505000000.0,-943000000.0,-21969000000.0,-1000000.0,-79850000000.0,-4358000000.0
2020-03-20,-213403000000.0,3308000000.0,-222712000000.0,-24296000000.0,-1236000000.0,198124000000.0,-42990000000.0,-43000000.0,582000000.0,203434000000.0,7995000000.0,-1066000000.0,-24252000000.0,4311000000.0,4171000000.0,-1000000.0,-95368000000.0,-8243000000.0
2019-03-20,-195650000000.0,-4355000000.0,-205350000000.0,-18221000000.0,4027000000.0,226147000000.0,-14366000000.0,-31000000.0,-174000000.0,209380000000.0,6288000000.0,-2339000000.0,-18189000000.0,-3482000000.0,-9569000000.0,-1000000.0,-103389000000.0,-7361000000.0
2018-03-20,-270509000000.0,3345000000.0,-280208000000.0,-15203000000.0,1772000000.0,210595000000.0,-92354000000.0,-45000000.0,123000000.0,202934000000.0,4577000000.0,-2929000000.0,-15158000000.0,-10525000000.0,-31525000000.0,-1000000.0,-63570000000.0,-6770000000.0
