,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,-37001000000.0,0.0,-98312000000.0,-99497000000.0,24220000000.0,440000000.0,214733000000.0,8393000000.0,-30000000.0,1166000000.0,205035000000.0,30376000000.0,100000000.0,-91442000000.0,-8465000000.0,-64294000000.0,-57040000000.0
2019-12-31,-20880000000.0,0.0,-81741000000.0,-66872000000.0,53965000000.0,735000000.0,157560000000.0,57081000000.0,-25000000.0,-947000000.0,206641000000.0,26401000000.0,197000000.0,-56370000000.0,-11212000000.0,-31285000000.0,-53009000000.0
2018-12-31,3362000000.0,0.0,-74060000000.0,-35014000000.0,36419000000.0,996000000.0,92488000000.0,7785000000.0,-19000000.0,-2215000000.0,119074000000.0,16578000000.0,200000000.0,-35010000000.0,-981000000.0,-27002000000.0,-71785000000.0
2017-12-31,7030000000.0,0.0,-36718000000.0,-29563000000.0,36167000000.0,922000000.0,72713000000.0,43706000000.0,-20000000.0,2363000000.0,107623000000.0,16334000000.0,262000000.0,-30054000000.0,-411000000.0,-18419000000.0,-32881000000.0
