,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2021-03-31,-3973000000.0,1972000000.0,-134718000000.0,292828000000.0,262638000000.0,-97533000000.0,6542000000.0,-201554000000.0,-41434000000.0,-169354000000.0,199362000000.0,369977000000.0,-27580000000.0,2982000000.0,-14229000000.0,-9152000000.0,6668000000.0,-470185000000.0,
2020-03-31,-195493000000.0,394000000.0,-552494000000.0,1399000000.0,-32993000000.0,-36525000000.0,6060000000.0,397881000000.0,9739000000.0,595227000000.0,214517000000.0,92455000000.0,-29550000000.0,2801000000.0,24911000000.0,-10902000000.0,-184307000000.0,-424853000000.0,
2019-03-31,-374987000000.0,425000000.0,-597502000000.0,881000000.0,-33635000000.0,-38739000000.0,5758000000.0,438715000000.0,-30817000000.0,600319000000.0,211262000000.0,171386000000.0,-27580000000.0,-7697000000.0,-10824000000.0,-12694000000.0,-184379000000.0,-365446000000.0,
2018-03-31,-2881000000.0,17675000000.0,-1676489000000.0,1467483000000.0,1434788000000.0,-28955000000.0,3056000000.0,395502000000.0,367894000000.0,609595000000.0,216027000000.0,-1364748000000.0,-27580000000.0,-971000000.0,-7244000000.0,13194000000.0,-148789000000.0,-280424000000.0,-21365000000.0
