,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Investments
2020-12-31,2322000000.0,-1200000000.0,-237000000.0,-2540000000.0,6000000.0,4448000000.0,162000000.0,-243000000.0,-132000000.0,1732000000.0,570000000.0,135000000.0,-244000000.0,-5342000000.0,946000000.0,-576000000.0,
2019-12-31,-736000000.0,-276000000.0,-237000000.0,-1638000000.0,6000000.0,-976000000.0,266000000.0,-243000000.0,58000000.0,482000000.0,512000000.0,135000000.0,-106000000.0,5328000000.0,-1466000000.0,-242000000.0,
2019-06-30,84000000.0,-1258000000.0,28000000.0,959000000.0,28000000.0,2770000000.0,3347000000.0,-243000000.0,97000000.0,4480000000.0,521000000.0,273000000.0,-121000000.0,116000000.0,-885000000.0,-153000000.0,-1336000000.0
2018-06-30,56000000.0,-4245000000.0,170000000.0,-1334000000.0,170000000.0,2335000000.0,-3051000000.0,-243000000.0,1000000.0,1022000000.0,513000000.0,126000000.0,-166000000.0,-1338000000.0,140000000.0,-2437000000.0,-1336000000.0
