,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2020-12-31,124000000.0,-5853000000.0,-8716000000.0,-20988000000.0,-4000000.0,39309000000.0,2789000000.0,-1000000.0,32496000000.0,7603000000.0,23000000.0,-20847000000.0,-9651000000.0,4560000000.0,-141000000.0,-3468000000.0,-2970000000.0,
2019-12-31,22000000.0,13884000000.0,-7934000000.0,-16221000000.0,5329000000.0,43497000000.0,24612000000.0,6000000.0,48762000000.0,7228000000.0,-97000000.0,-16109000000.0,-7038000000.0,-17263000000.0,-112000000.0,3125000000.0,-2152000000.0,
2018-12-31,-3055000000.0,6246000000.0,-11096000000.0,-13470000000.0,9000000.0,33601000000.0,14040000000.0,-7000000.0,38646000000.0,6438000000.0,-23000000.0,-13265000000.0,-909000000.0,-10255000000.0,-105000000.0,3516000000.0,-2436000000.0,-100000000.0
2017-12-31,394000000.0,7319000000.0,-5243000000.0,-11528000000.0,-16000000.0,31560000000.0,19362000000.0,-19000000.0,36153000000.0,6138000000.0,-161000000.0,-10419000000.0,39000000.0,-12119000000.0,-61000000.0,3232000000.0,-1476000000.0,-100000000.0
