,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,8992000000.0,-1142000000.0,-6356000000.0,-762000000.0,-7567000000.0,-2570000000.0,11458000000.0,7375000000.0,-4000000.0,-192000000.0,24218000000.0,13279000000.0,203000000.0,-4532000000.0,1736000000.0,824000000.0,-2269000000.0,-8591000000.0,-14916000000.0,
2019-03-31,8971000000.0,299000000.0,-1008000000.0,-2302000000.0,-17317000000.0,7000000.0,13767000000.0,2293000000.0,-8773000000.0,-295000000.0,20913000000.0,12682000000.0,322000000.0,-4316000000.0,-2831000000.0,-137000000.0,-1926000000.0,-11404000000.0,-9543000000.0,
2018-03-31,-2406000000.0,1356000000.0,-13739000000.0,-107000000.0,-5317000000.0,1260000000.0,9353000000.0,4608000000.0,-5000000.0,56000000.0,23608000000.0,12690000000.0,415000000.0,-3596000000.0,-566000000.0,-2891000000.0,-1609000000.0,-5255000000.0,-10153000000.0,
2017-03-31,9211000000.0,719000000.0,-2169000000.0,-1379000000.0,-7388000000.0,-1933000000.0,8683000000.0,11438000000.0,-3000000.0,-302000000.0,21298000000.0,12923000000.0,445000000.0,-3076000000.0,587000000.0,-439000000.0,-3939000000.0,-5029000000.0,-6972000000.0,1009000000.0
