,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-35938000000.0,-97292000000.0,-203417000000.0,58648000000.0,-57742000000.0,-122194000000.0,80000000.0,171359000000.0,50012000000.0,-15943000000.0,326618000000.0,159421000000.0,-91182556000.0,505000000.0,127337000000.0,-12795000000.0,76900000000.0,-76935000000.0
2019-03-31,-10333000000.0,108735000000.0,-51317000000.0,-119469000000.0,-233196000000.0,-136201000000.0,195000000.0,320523000000.0,-6793000000.0,4821000000.0,268883000000.0,102907000000.0,-88653000000.0,-46038000000.0,-60634000000.0,-25269000000.0,-29818000000.0,-110028000000.0
2018-03-31,-86582000000.0,90793000000.0,-155766000000.0,-153501000000.0,-229610000000.0,-5939000000.0,178000000.0,308521000000.0,-109312000000.0,-14688000000.0,295264000000.0,109094000000.0,-66160000000.0,-126008000000.0,-70468000000.0,-10127000000.0,-20543000000.0,-97762000000.0
2017-03-31,-896000000.0,105028000000.0,-180673000000.0,-152810000000.0,-254448000000.0,-2221000000.0,32000000.0,170889000000.0,-92291000000.0,-2958000000.0,345788000000.0,105219000000.0,-62407000000.0,-8866000000.0,21169000000.0,-39263000000.0,-54545000000.0,-73004000000.0
