,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,-6993000000.0,0.0,20289000000.0,-11365000000.0,-17241000000.0,18261000000.0,32423000000.0,-802000000.0,-12000000.0,23511000000.0,3227000000.0,30490000000.0,-3718000000.0,-6845000000.0,10376000000.0,-3144000000.0,
2019-03-31,149650000000.0,0.0,200773000000.0,-76631000000.0,-98470000000.0,17670000000.0,3047000000.0,-4000000.0,5000000.0,-121099000000.0,4378000000.0,53482000000.0,-3362000000.0,-73265000000.0,-54724000000.0,-2520000000.0,
2018-03-31,108947000000.0,0.0,108678000000.0,136877000000.0,-264026000000.0,18314000000.0,120000000.0,-1530000000.0,-5000000.0,-245427000000.0,3625000000.0,3653000000.0,-3348000000.0,140239000000.0,-5884000000.0,-3973000000.0,1516000000.0
2017-03-31,246443000000.0,0.0,157017000000.0,-167186000000.0,209356000000.0,16114000000.0,219081000000.0,-3008000000.0,-5000000.0,229255000000.0,3856000000.0,-85541000000.0,-3374000000.0,-160805000000.0,-14511000000.0,-3925000000.0,1000000.0
