,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2021-03-31,49327000000.0,0.0,49154000000.0,-134000000.0,-13944000000.0,-4757000000.0,38504000000.0,35476000000.0,-10160000000.0,258000000.0,8000000.0,192000000.0,-1000000.0,-3650000000.0,-33931000000.0,-55000000.0,
2020-03-31,41000000.0,0.0,-277000000.0,-116000000.0,-3581000000.0,-3453000000.0,11839000000.0,8162000000.0,-1000000.0,-156000000.0,12177000000.0,189000000.0,-36000000.0,-3464000000.0,-1604000000.0,-88000000.0,
2019-03-31,383000000.0,-207000000.0,213000000.0,-612000000.0,-3923000000.0,-3271000000.0,10162000000.0,-6207000000.0,-1000000.0,-217000000.0,-1350000000.0,116000000.0,118000000.0,-3310000000.0,-11588000000.0,-119000000.0,-1000000.0
2018-03-31,25165000000.0,207000000.0,24732000000.0,-3343000000.0,-69046000000.0,-5501000000.0,24235000000.0,-37093000000.0,-61270000000.0,-204000000.0,7425000000.0,225000000.0,-142000000.0,-4432000000.0,-22272000000.0,-239000000.0,-1000000.0
