,Net Income,Change To Liabilities,Investments,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2021-03-31,4984000000.0,0.0,,,,,,,,,,,,,,,,
2020-03-31,14762000000.0,-8594000000.0,-1542000000.0,-22319000000.0,-6694000000.0,1449000000.0,-3073000000.0,-166000000.0,26105000000.0,7264000000.0,277000000.0,-5977000000.0,1778000000.0,8240000000.0,-717000000.0,-6821000000.0,-9900000000.0,
2019-03-31,22793000000.0,2317000000.0,-2905000000.0,-13008000000.0,-3949000000.0,-1381000000.0,6837000000.0,-597000000.0,24393000000.0,6853000000.0,-588000000.0,-3321000000.0,1907000000.0,-1465000000.0,-627000000.0,-15339000000.0,-9701000000.0,-1000000.0
2018-03-31,12238000000.0,5773000000.0,-273000000.0,-18510000000.0,-3903000000.0,363000000.0,-7973000000.0,689000000.0,13751000000.0,6446000000.0,4000000.0,-3321000000.0,-7691000000.0,-8467000000.0,-582000000.0,-757000000.0,-8897000000.0,-1000000.0
