,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,-133016000000.0,2691000000.0,-140234000000.0,-137000000.0,-2626000000.0,22654000000.0,7050000000.0,56220000000.0,-1066000000.0,-2783000000.0,4191000000.0,137603000000.0,8574000000.0,-2043000000.0,-4417000000.0,5855000000.0,-2339000000.0,-10342000000.0,-2342000000.0
2019-12-31,-19166000000.0,448000000.0,-28625000000.0,-1852000000.0,-27742000000.0,-21147000000.0,3127000000.0,115664000000.0,48344000000.0,-27225000000.0,-362000000.0,105073000000.0,7694000000.0,-913000000.0,-4417000000.0,-301000000.0,-1792000000.0,-3589000000.0,-1425000000.0
2018-12-31,-45960000000.0,40000000.0,-68183000000.0,971000000.0,8260000000.0,-41000000.0,7323000000.0,107672000000.0,52050000000.0,-1000000.0,-6045000000.0,118018000000.0,6453000000.0,556000000.0,-4417000000.0,2679000000.0,-33000000.0,-8557000000.0,-1683000000.0
2017-12-31,-61972000000.0,-1320000000.0,-81891000000.0,-1683000000.0,-3019000000.0,13240000000.0,8881000000.0,56750000000.0,559000000.0,-10009000000.0,4751000000.0,80718000000.0,5819000000.0,709000000.0,-1000000.0,-4463000000.0,-207000000.0,-2553000000.0,-2053000000.0
