,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-12-31,271000000.0,-819000000.0,-15742000000.0,16107000000.0,-22921000000.0,10501000000.0,-17214000000.0,-1919000000.0,19000000.0,36724000000.0,51168000000.0,-250000000.0,-1986000000.0,596000000.0,-2893000000.0,-37042000000.0,4604000000.0,-14230000000.0,
2019-12-31,271000000.0,-147000000.0,-20446000000.0,-3175000000.0,-47350000000.0,2048000000.0,9487000000.0,40000000.0,12000000.0,67825000000.0,51061000000.0,-1122000000.0,-6110000000.0,-616000000.0,-972000000.0,-38274000000.0,-278000000.0,-17869000000.0,209000000.0
2018-12-31,271000000.0,691000000.0,-19667000000.0,4000000000.0,-8049000000.0,264000000.0,11438000000.0,3814000000.0,-41000000.0,31571000000.0,14075000000.0,-655000000.0,-7470000000.0,391000000.0,-1063000000.0,-4672000000.0,-1383000000.0,-15728000000.0,93000000.0
2017-12-31,-276000000.0,725000000.0,-19606000000.0,-3500000000.0,-13078000000.0,506000000.0,16926000000.0,-1128000000.0,46000000.0,31510000000.0,13464000000.0,-1081000000.0,-7609000000.0,1792000000.0,-787000000.0,-3298000000.0,-9705000000.0,-16722000000.0,1329000000.0
