,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities,Net Borrowings
2020-03-31,7000000.0,192000000.0,-1760000000.0,-5328000000.0,1556000000.0,4598000000.0,2259000000.0,-1990000000.0,9347000000.0,2731000000.0,191000000.0,-3338000000.0,-428000000.0,890000000.0,-1867000000.0,-1958000000.0,,
2019-03-31,463000000.0,-3032000000.0,-1121000000.0,-6094000000.0,-711000000.0,8435000000.0,5349000000.0,-2523000000.0,12565000000.0,2917000000.0,-216000000.0,-3525000000.0,362000000.0,2429000000.0,-1042000000.0,-1368000000.0,-46000000.0,
2018-03-31,463000000.0,-559000000.0,-426000000.0,-3483000000.0,-2207000000.0,9023000000.0,-625000000.0,-15000000.0,3283000000.0,2618000000.0,-41000000.0,-3422000000.0,-3743000000.0,-976000000.0,-3966000000.0,-1095000000.0,-46000000.0,
2017-03-31,-750000000.0,5802000000.0,-1835000000.0,-3291000000.0,-1357000000.0,8526000000.0,456000000.0,-16000000.0,5583000000.0,2734000000.0,21000000.0,-2726000000.0,-3444000000.0,-4594000000.0,-5141000000.0,-1106000000.0,-49000000.0,-500000000.0
