,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities,Net Borrowings
2021-03-31,8126000000.0,6756000000.0,-13107000000.0,-15825000000.0,5900000000.0,829000000.0,39091000000.0,30026000000.0,-1000000.0,2249000000.0,56709000000.0,6815000000.0,20000000.0,-16653000000.0,-3825000000.0,-6058000000.0,-6313000000.0,-21026000000.0,,
2020-03-31,-2125000000.0,-2329000000.0,-25660000000.0,-10580000000.0,-675000000.0,210000000.0,27653000000.0,-5568000000.0,-4000000.0,-628000000.0,31299000000.0,6612000000.0,-2000000.0,-10741000000.0,-33000000.0,-5202000000.0,-5351000000.0,-24868000000.0,-45000000.0,
2019-03-31,-2125000000.0,-3113000000.0,-14513000000.0,-12982000000.0,-2311000000.0,18000000.0,28824000000.0,-193000000.0,-4000000.0,-9000000.0,27311000000.0,6095000000.0,229000000.0,-13001000000.0,-3744000000.0,8695000000.0,-16567000000.0,-14436000000.0,1000000.0,
2018-03-31,2000000.0,4930000000.0,-12673000000.0,-24053000000.0,2001000000.0,445000000.0,37171000000.0,13854000000.0,-6000000.0,-149000000.0,50731000000.0,6053000000.0,-57000000.0,-15492000000.0,-2981000000.0,-4974000000.0,-5022000000.0,-11494000000.0,1000000.0,-9000000000.0
