,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2021-03-31,-750000000.0,30483000000.0,-163057000000.0,-136788000000.0,-199667000000.0,106237000000.0,-5813000000.0,2782000000.0,354129000000.0,133126000000.0,2679000000.0,-39316400000.0,56156000000.0,-39209000000.0,-9001000000.0,64369000000.0,-181548000000.0,
2020-03-31,214000000.0,-38340000000.0,-190930000000.0,112756000000.0,-3457000000.0,153844000000.0,99137000000.0,-1657000000.0,295181000000.0,129525000000.0,2679000000.0,-107687000000.0,-9915000000.0,44568000000.0,-8526000000.0,32873000000.0,-184707000000.0,
2019-03-31,1618000000.0,-37683000000.0,-187204000000.0,105292000000.0,-3660000000.0,256491000000.0,4082000000.0,-7602000000.0,202548000000.0,129860000000.0,63000000.0,-93457000000.0,-99507000000.0,-74121000000.0,-15495000000.0,48875000000.0,-192050000000.0,
2018-03-31,62409000000.0,28830000000.0,-377745000000.0,313620000000.0,243949000000.0,196410000000.0,24496000000.0,9898000000.0,148394000000.0,132442000000.0,-2295000000.0,-61335000000.0,-94154000000.0,-181426000000.0,-8385000000.0,24437000000.0,-154927000000.0,49000000.0
