,Net Income,Change To Liabilities,Investments,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,10759000000.0,0.0,,,,,,,,,,,,,,,,
2020-03-31,12732000000.0,-3669000000.0,294000000.0,-16798000000.0,1957000000.0,-6210000000.0,1212000000.0,-4736000000.0,-100000000.0,18240000000.0,4664000000.0,-1863000000.0,-6850000000.0,659000000.0,178000000.0,-1317000000.0,-6159000000.0,-5863000000.0
2019-03-31,13316000000.0,785000000.0,402000000.0,-8147000000.0,-113000000.0,-7557000000.0,-1566000000.0,-3516000000.0,-1087000000.0,13275000000.0,4207000000.0,-959000000.0,-6328000000.0,-2710000000.0,-1742000000.0,-1116000000.0,-7009000000.0,-7019000000.0
2018-03-31,11996000000.0,3587000000.0,46000000.0,-7950000000.0,-519000000.0,-7406000000.0,871000000.0,1274000000.0,194000000.0,16436000000.0,3638000000.0,-206000000.0,-5805000000.0,-1072000000.0,-3630000000.0,-1082000000.0,-6558000000.0,-4088000000.0
