,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2020-03-31,6098000000.0,1077000000.0,4254000000.0,-641000000.0,901000000.0,9287000000.0,19682000000.0,-6000000.0,16076000000.0,1966000000.0,2000000.0,-641000000.0,-106000000.0,119000000.0,-931000000.0,-128000000.0,
2019-03-31,4800000000.0,-2984000000.0,2874000000.0,-385000000.0,369000000.0,6210000000.0,7523000000.0,-6000000.0,5034000000.0,2062000000.0,-5000000.0,-384000000.0,405000000.0,-426000000.0,-1827000000.0,-62000000.0,-1000000.0
2018-03-31,-184000000.0,1552000000.0,-2395000000.0,-384000000.0,216000000.0,3518000000.0,3174000000.0,-7000000.0,5962000000.0,1547000000.0,-102000000.0,-384000000.0,-915000000.0,135000000.0,-1767000000.0,-23000000.0,-1000000.0
2017-03-31,2866000000.0,1706000000.0,1140000000.0,-383000000.0,-1414000000.0,3364000000.0,5522000000.0,-1000000.0,4767000000.0,1159000000.0,3000000.0,-382000000.0,-150000000.0,-23000000.0,-1390000000.0,-80000000.0,-1000000.0
