,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,30400000000.0,-69958000000.0,-206096000000.0,137030000000.0,48222000000.0,-239080000000.0,2000000.0,225707000000.0,244240000000.0,-35000000.0,-28050000000.0,430303000000.0,339231000000.0,209000000.0,-69979000000.0,30938000000.0,62770000000.0,-18796000000.0,46951000000.0,-273920000000.0
2019-03-31,3632000000.0,24548000000.0,-193387000000.0,-241003000000.0,-341761000000.0,-331036000000.0,59000000.0,284149000000.0,-317321000000.0,-50000000.0,14150000000.0,203677000000.0,265039000000.0,-1951000000.0,-81633000000.0,-30270000000.0,-127464000000.0,-19134000000.0,87709000000.0,-316083000000.0
2018-03-31,-9261000000.0,143023000000.0,-458828000000.0,80082000000.0,-128763000000.0,-68453000000.0,11000000.0,236040000000.0,-181202000000.0,-119000000.0,-16793000000.0,423182000000.0,259873000000.0,-6828000000.0,-58310000000.0,-164137000000.0,-156577000000.0,-150427000000.0,145532000000.0,-394485000000.0
2017-03-31,2044000000.0,64044000000.0,-420156000000.0,355910000000.0,294598000000.0,-68453000000.0,9000000.0,149360000000.0,258121000000.0,-106000000.0,-1731000000.0,385410000000.0,245571000000.0,-319000000.0,-58025000000.0,-36612000000.0,-7983000000.0,-3190000000.0,-54166000000.0,-278594000000.0
