,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,1753000000.0,-774000000.0,-17164000000.0,-12205000000.0,654000000.0,15305000000.0,-1761000000.0,-2758000000.0,-976000000.0,28584000000.0,15819000000.0,-228000000.0,-8751000000.0,-1069000000.0,-1535000000.0,-696000000.0,-5716000000.0,-18689000000.0
2019-03-31,-10366000000.0,-757000000.0,-31154000000.0,-14298000000.0,6000000.0,17891000000.0,-17074000000.0,-1572000000.0,196000000.0,28182000000.0,13107000000.0,-448000000.0,-12754000000.0,-1826000000.0,2051000000.0,28000000.0,-9070000000.0,-20340000000.0
2018-03-31,-3294000000.0,1914000000.0,-30078000000.0,-11839000000.0,53000000.0,19526000000.0,-12560000000.0,-10000000.0,67000000.0,29289000000.0,10774000000.0,-8930000000.0,-12530000000.0,-2830000000.0,-1727000000.0,701000000.0,-7287000000.0,-17854000000.0
2017-03-31,12428000000.0,357000000.0,-10585000000.0,-10798000000.0,768000000.0,21356000000.0,6491000000.0,-2749000000.0,-218000000.0,28093000000.0,8067000000.0,-7320000000.0,-8390000000.0,-796000000.0,-1277000000.0,341000000.0,-8362000000.0,-15693000000.0
