,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings,Change To Account Receivables
2020-03-31,2394916000000.0,0.0,3248209000000.0,-165405000000.0,-2697694000000.0,150687000000.0,492590000000.0,-99999000000.0,-2590214000000.0,57496000000.0,-223941000000.0,-64529000000.0,-877000000.0,-166623000000.0,-10040000000.0,,
2019-03-31,1636156000000.0,0.0,2653004000000.0,57909000000.0,-2755873000000.0,120480000000.0,19203000000.0,-99999000000.0,-2691710000000.0,6270000000.0,123368000000.0,-38390590000.0,-1000000.0,-126147000000.0,-27026000000.0,98700000000.0,11754000000.0
2018-03-31,3034056000000.0,0.0,1967525000000.0,-36620000000.0,-2318328000000.0,104487000000.0,-467581000000.0,-99999000000.0,-2398486000000.0,10237000000.0,-1467668000000.0,-34784530000.0,-636000000.0,-263139000000.0,-6332000000.0,-636000000.0,17173000000.0
2017-03-31,-317207000000.0,0.0,1629012000000.0,-34622000000.0,-1944665000000.0,88596000000.0,-496549000000.0,-538000000.0,-2090939000000.0,46819000000.0,1081264000000.0,-33564000000.0,-520000000.0,-313275000000.0,-3219000000.0,-636000000.0,17173000000.0
