,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,7457000000.0,-4469000000.0,-43582000000.0,50760000000.0,37207000000.0,5032000000.0,-39804000000.0,20803000000.0,-12000000.0,27178000000.0,51584000000.0,2278000000.0,-3656000000.0,1745000000.0,2494000000.0,-9885000000.0,12053000000.0,-60653000000.0
2020-03-31,-594000000.0,-2395000000.0,-85454000000.0,36844000000.0,17171000000.0,-438000000.0,19923000000.0,6827000000.0,-18000000.0,74897000000.0,50162000000.0,2817000000.0,-7948000000.0,2166000000.0,3120000000.0,-11707000000.0,-13716000000.0,-89415000000.0
2019-03-31,-6904000000.0,-4069000000.0,-80094000000.0,3974000000.0,-15083000000.0,-2342000000.0,32468000000.0,-22271000000.0,-420000000.0,72733000000.0,47009000000.0,2944000000.0,-7223000000.0,-1665000000.0,-1145000000.0,-11414000000.0,-10249000000.0,-72945000000.0
2018-03-31,-1089000000.0,1600000000.0,-52681000000.0,9704000000.0,-8099000000.0,-15177000000.0,29328000000.0,24613000000.0,-25000000.0,85394000000.0,45574000000.0,9001000000.0,-7220000000.0,3328000000.0,-899000000.0,-10558000000.0,7028000000.0,-64988000000.0
